path,sha256,purpose,source_category,upstream_present,user_modified_or_added,upstream_counterpart,reference,release_status,rtx5090_compatibility,applicable_license,dataset,audit_condition,split_role,shared_infrastructure,included
code/ldm/modules/image_degradation/utils_image.py,1a6e9bbe9da20a531fce7f5c8b212611d01b0e77a7cd4102c1ad493cc9ea8520,Retained image conversion and degradation helpers,Upstream unchanged,yes,no,ldm/modules/image_degradation/utils_image.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/losses/__init__.py,7254a0702a67d5e374b51335eaaa76e2e8af2cc5dd4da249b25adb3e06f718f6,Python package marker/export surface,Upstream unchanged,yes,no,ldm/modules/losses/__init__.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/losses/contperceptual.py,f4dab25a2b952cfc19d3ced2d9d52bce2d249044ba4046abd06d3873aa46e3fd,Retained continuous-autoencoder loss support,Upstream unchanged,yes,no,ldm/modules/losses/contperceptual.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/losses/vqperceptual.py,0ab4d5bd2f6c88f774227d1eb98001b6349762527862f5d4d91b6b8fa40599a3,Retained VQ/perceptual loss support,Upstream unchanged,yes,no,ldm/modules/losses/vqperceptual.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/modules/x_transformer.py,68220d0620199eeba21efd99ae0520c5ccd6396a22dcf9a1e1b727178ea9d89a,Retained transformer building blocks,Upstream unchanged,yes,no,ldm/modules/x_transformer.py,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/runtime.py,f8373886748cdcfa3faed1e5e5f5f45ac2b8574b51fc0c54fc2d2309b5728d2e,Fail-fast RTX 5090 CUDA runtime gate,Release-created infrastructure,no,no; release-created,none at upstream commit,release assembly,release-created,yes; strict CUDA/RTX 5090 runtime contract,Repository MIT; layered upstream notices remain applicable where derived,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/ldm/util.py,d4ea24dfe44f473adea693807a17a90b062a0a61b30b1eff7831a29c649bcd22,"Configuration instantiation, checkpoint loading, and shared utilities",Upstream modified for PyTorch/CUDA-environment compatibility,yes,yes; modified before release assembly,ldm/util.py,upstream 381827e1dc64a99132bbc4adf68e3c73d295c15a + validated local working tree,preserved,yes; PyTorch 2.11 checkpoint-loading compatibility,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,shared by all four conditions,shared model/runtime infrastructure,yes,yes
code/main.py,5768e0cad80ded1f474ce113dc0f150c78b4b64771c6cedd1e8548fc8e273e65,"Training entry point, data module, logging, validation selection, and checkpoint orchestration",Upstream modified for audit,yes,yes; modified before release assembly,main.py,upstream 381827e1dc64a99132bbc4adf68e3c73d295c15a + validated local working tree,release-modified,yes; strict CUDA/RTX 5090 runtime contract,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,BTCV; ACDC; ISIC2018,Full; Random-Yt; Shuffle-Yt; Core-No-Diff,train; validation selection; final test,yes,yes
code/manifests/acdc/test.txt,7b2aac91c98e719a7f41300eccf8d622c0fc98754c7b8e6639ce5bbf563dd89b,Fixed ID-only ACDC test manifest,Generated manifest/config,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; ID facts only; dataset content not included,ACDC,not condition-specific,test,no,yes
code/manifests/acdc/train.txt,bfc7abb8764d17f50615d15c26653e6e395205a71aa60712a4e3cbfe4c4946b8,Fixed ID-only ACDC train manifest,Generated manifest/config,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; ID facts only; dataset content not included,ACDC,not condition-specific,train,no,yes
code/manifests/acdc/val.txt,4d1799fbc83e1d6fcdf000f5e5c4d9b4efae840e306bae95fdb8105180a6b6aa,Fixed ID-only ACDC val manifest,Generated manifest/config,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; ID facts only; dataset content not included,ACDC,not condition-specific,val,no,yes
code/manifests/btcv/test.txt,fa5ebbed2ed11e94f6a7dce1c89ff9c03bf4d9cf2e893bf28da9cd0f9f193b3c,Fixed ID-only BTCV/Synapse test manifest,Generated manifest/config,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; ID facts only; dataset content not included,BTCV/Synapse,not condition-specific,test,no,yes
code/manifests/btcv/train.txt,dfdb73f71f36503c06c569760e77ab15fa67cdce84341127e553b327e2219c71,Fixed ID-only BTCV/Synapse train manifest,Generated manifest/config,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; ID facts only; dataset content not included,BTCV/Synapse,not condition-specific,train,no,yes
code/manifests/btcv/val.txt,47ed3d1d80a76914ffa3bb75ecc33f40b9b8ae7c113d852fe32f3aff5031efc3,Fixed ID-only BTCV/Synapse val manifest,Generated manifest/config,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; ID facts only; dataset content not included,BTCV/Synapse,not condition-specific,val,no,yes
code/manifests/isic2018/test.txt,6fb4df9f361085d70966ce9098133a6491b756869717af4eaef4ca687686e4f7,Fixed ID-only ISIC2018 test manifest,Generated manifest/config,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; ID facts only; dataset content not included,ISIC2018,not condition-specific,test,no,yes
code/manifests/isic2018/train.txt,b6a11fa50b1cf0363160258b5cac96ccae382ea524e34434c3212d1fbb1e4775,Fixed ID-only ISIC2018 train manifest,Generated manifest/config,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; ID facts only; dataset content not included,ISIC2018,not condition-specific,train,no,yes
code/manifests/isic2018/val.txt,44c159239176fe8f63c1efd5f40b5cf66fcafcfd61571c684cd8467f912a366c,Fixed ID-only ISIC2018 val manifest,Generated manifest/config,no,no; release-created,none at upstream commit,release assembly,release-created,no,Repository MIT; ID facts only; dataset content not included,ISIC2018,not condition-specific,val,no,yes
code/scripts/download_first_stages_f8.sh,aecf6243b18e52e7fc4ac0d0fc7416b29db49f180e3e20fd8aa7f5e3c5226379,Official first-stage checkpoint download helper,Upstream unchanged,yes,no,scripts/download_first_stages_f8.sh,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,not condition-specific,not split-specific,yes,yes
code/scripts/download_models_lsun_churches.sh,eefcc47258abee202cf24a97e3fedf1b917b32c6ab8f38c4cc653a5c55fe2998,Official latent-diffusion checkpoint download helper,Upstream unchanged,yes,no,scripts/download_models_lsun_churches.sh,381827e1dc64a99132bbc4adf68e3c73d295c15a,copied unchanged,no,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,shared/not dataset-specific,not condition-specific,not split-specific,yes,yes
code/scripts/evaluate_acdc_multiclass_logits.py,6b5e00fa62fb45114db0305f5cd26d6f038e76c1f572fe479a8455c796915857,Compute ACDC class-wise and aggregate Dice/IoU result tables,User-added validated local work,no,yes; added before release assembly,none at upstream commit,validated local working tree,preserved,no,Repository MIT; layered upstream notices remain applicable where derived,ACDC,not condition-specific,final test only,no,yes
code/scripts/evaluate_btcv_binary_logits.py,a71b18cde1f3e0cfb3670b13d101bf812efd68b2aed8c326c3724d2e24c2c954,Compute BTCV binary Dice/IoU result tables,User-added validated local work,no,yes; added before release assembly,none at upstream commit,validated local working tree,preserved,no,Repository MIT; layered upstream notices remain applicable where derived,BTCV/Synapse,not condition-specific,final test only,no,yes
code/scripts/evaluate_isic2018_binary_logits.py,765486950fa413831459b1bf65223552fc0d5c8320ff14e78e91b48cadd4df16,Compute ISIC2018 binary Dice/IoU result tables,User-added validated local work,no,yes; added before release assembly,none at upstream commit,validated local working tree,preserved,no,Repository MIT; layered upstream notices remain applicable where derived,ISIC2018,not condition-specific,final test only,no,yes
code/scripts/preprocess_acdc_to_tsldseg.py,fc8c55c637bba60c108678db7c56a2248ad6c086d004991ff991150edb7e0764,Build the fixed ACDC 70/10/20 PNG split cache from NIfTI,"User-derived local preprocessing, rewritten for release",no,yes; validated local preprocessing lineage,none at upstream commit,validated local preprocessing lineage,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,ACDC,not condition-specific,split construction/validation,no,yes
code/scripts/preprocess_btcv_synapse_to_tsldseg.py,127860fa44560827e5a523106f095aa7a19669862d1bbf7e89c7a2118b2021ad,Build the fixed BTCV 18/2/10 PNG split cache from NIfTI,"User-derived local preprocessing, rewritten for release",no,yes; validated local preprocessing lineage,none at upstream commit,validated local preprocessing lineage,release-created,no,Repository MIT; layered upstream notices remain applicable where derived,BTCV/Synapse,not condition-specific,split construction/validation,no,yes
code/scripts/preprocess_isic2018_to_tsldseg.py,bee02bdc4fcbe30eb099354cea2c0486908b335e9e47aabb1f84d4cc110a7dcb,Build official ISIC2018 Task 1 PNG split caches from archives,User-added validated local work,no,yes; added before release assembly,none at upstream commit,validated local working tree,release-modified,no,Repository MIT; layered upstream notices remain applicable where derived,ISIC2018,not condition-specific,split construction/validation,no,yes
code/scripts/promote_best_checkpoint.py,5919ef393c1898ce00ba0aead97cd54e1cc9235acb4b48f0f2f4caa48d19b771,Promote the validation-selected checkpoint to a stable filename,User-added validated local work,no,yes; added before release assembly,none at upstream commit,validated local working tree,preserved,no,Repository MIT; layered upstream notices remain applicable where derived,shared/not dataset-specific,not condition-specific,validation-selected checkpoint handoff,yes,yes
code/scripts/slice2seg.py,cca8224e486f3c5487420499ec281510501ceb8f97b5c8e1d55de9329256e848,Explicit final-test inference entry point for the three released datasets,Upstream modified by user,yes,yes; modified before release assembly,scripts/slice2seg.py,upstream 381827e1dc64a99132bbc4adf68e3c73d295c15a + validated local working tree,release-modified,yes; strict CUDA/RTX 5090 runtime contract,TSLDSeg MIT plus applicable lineage notices; see THIRD_PARTY_NOTICES.md,BTCV; ACDC; ISIC2018,Full; Random-Yt; Shuffle-Yt; Core-No-Diff,final test only,yes,yes
